pct,omega_rad_s,contact_x,phi_contact,t_liftoff,x_liftoff,y_liftoff,vx_liftoff,vy_liftoff,v_liftoff,theta_liftoff,t_peak,y_peak,theta_lo,omega_lo,t_end,x_end
10,0.7503044551923163,0.018302900366773085,3.382061734532694,0.10690000000000204,-0.018332074408099846,0.046964788362405155,-0.2942797960775421,0.5389673073054235,0.6140735759854015,2.0705685458785155,0.05678952889254591,0.061812410632295804,-1.3965429323894827,9.11792584791201,0.169930777560932,-0.06639525746697472
20,1.4362864829334712,0.01166708209344194,3.152053926483807,0.10700000000000204,7.848036807270606e-05,0.054777846013802325,-0.0037645321147977955,0.642590802876311,0.642601829785183,1.5766546257808445,0.06697597162700863,0.07579421974596212,-1.6865402764133655,7.571462257582831,0.19162963957139645,0.0012949675533211048
30,2.1600050112711195,0.008599524463455082,3.0439876818969993,0.10650000000000202,0.010333476633612077,0.05588353593259052,0.15659764658888625,0.657300651509797,0.6756973948391257,1.3369127867851958,0.06826410893937027,0.07784712470471564,4.453295860409201,6.843958268867746,0.1942950002614532,0.04243358267207741
40,2.847188520192409,0.007463150940592356,3.0010059438289947,0.10620000000000202,0.014392373428226083,0.05575035563099654,0.21981722416835153,0.6568434920542101,0.6926492511329587,1.2478550120373637,0.06811717199961065,0.07767813983269865,4.398014056751001,6.473695409868187,0.19388080822437762,0.05850653078431681
50,3.636829889434934,0.006805116498352835,2.9770150867874423,0.10600000000000201,0.016712674132095803,0.05554286020392466,0.2562875289938469,0.6545521538069675,0.7029379912702912,1.1975987252503433,0.06783059660168883,0.07731556633536643,4.366531189379117,6.285729990856524,0.19322611845535562,0.0676329307572187
60,4.510608515764167,0.006426390729210325,2.963470040950043,0.105900000000002,0.018042829677669084,0.0553959377472424,0.27723995983730065,0.6522292756916447,0.7087065848430051,1.168870465637478,0.06756907934099741,0.0770128103944457,4.348724362512813,6.209326973416552,0.19267875280903396,0.07281592237276839
70,5.671111868910182,0.005975006014600739,2.953608403784756,0.105700000000002,0.019321724542328063,0.05519855173934917,0.298558767249445,0.6490326359168629,0.7144093364358416,1.1396528113145274,0.0672320116806813,0.07660109632578979,4.330515827569999,6.2131757209403835,0.19197348425226424,0.07798012648957518
80,6.623388026391022,0.0058805108139724,2.949482978896831,0.105700000000002,0.01969487394950468,0.05515782161306616,0.30425286689456876,0.6479752060248181,0.7158503158038485,1.1318090041323765,0.06711915259789171,0.07649014757202255,4.325841747249989,6.201779074586046,0.1917600701025975,0.07937261333683082
90,7.774070212905978,0.0059125699459881345,2.946072044626479,0.105700000000002,0.01978542389641439,0.05511901850087561,0.3050357826354187,0.6490502910796816,0.7171562654252013,1.131457970790647,0.06720626660218784,0.0765243999487011,4.32480173953552,6.075041163451989,0.19186095519893032,0.07959152437962771
100,8.725008703011788,0.005679626584980415,2.943612462257327,0.105600000000002,0.020326649018864,0.0550323551731132,0.3145464842190525,0.6466873011616293,0.71912721838231,1.1180905673102925,0.06697374718210153,0.0762794676780108,4.316886046630816,6.154349307511074,0.19142136383838065,0.08184491716264661
